bottler,label_cor,label_dis,feature_value
BIG#Sichuan / 四川,2,2,"[41.2995503621162, 42.2861844495716, 43.429999952082795, 42.7343558659054, 42.893270866230104, 42.978841913763, 43.478373814389, 43.598018180621004, 44.992309914120796, 44.605255178431996, 44.8013140084654, 44.2245291684215, 43.3711591439546, 43.048200812953795, 42.1747991643507, 43.0796654352895, 42.94263084275929, 43.076433221707106, 44.124201908656104, 44.372942005374, 44.286722865665595, 44.3143994787401, 44.0448264731328, 43.491935138017, 43.1491374285742, 43.1458466269891, 43.061567149884205, 43.5079689117039, 43.3522593153192, 43.404071574881, 43.3087940282605, 42.5743290938291, 43.5442973134723, 42.8068485899215, 42.1783415170233]"
BIG#Yunnan / 云南,0,0,"[50.1134152060065, 52.420742049976205, 52.0531644880503, 51.4571875167461, 51.733305378281095, 52.3428159432335, 54.1698719745656, 53.671810463362704, 54.9350072777666, 55.198329090606606, 55.3786448758894, 54.7367709566365, 55.370557593068504, 56.0764591114552, 55.6232144192583, 56.367249597256205, 55.947047400088394, 55.89615194229221, 57.674116552938, 59.036786122889396, 59.8592680564528, 59.1738616768097, 56.4898203323995, 55.4625535070925, 56.061406577389896, 55.48648812492121, 55.8077820633807, 57.3284729989427, 59.15808515890921, 58.1099553657728, 59.9632182208138, 58.4677640255058, 59.636728568641004, 61.435288214414705, 58.9593662224368]"
CBL#Beijing / 北京,0,0,"[44.642598947648494, 47.6609660671502, 49.7716174819611, 51.621744169712, 50.344071511821696, 49.39601893687549, 50.398624361703995, 47.920546033627005, 48.2330319619359, 48.4671190292061, 48.3318797304572, 48.5674495172715, 48.3485739953763, 50.0395770433064, 53.1494425684299, 53.761164115788404, 53.936077588423096, 51.51858934950871, 53.8720012607621, 50.62847048799629, 52.588344030459794, 52.1513855043929, 51.6631494195751, 51.18793660294949, 50.946249787998894, 51.6946153261796, 58.8786407281388, 59.1549853031354, 57.671110288908004, 56.444095811229104, 56.4299897394547, 58.0182889713552, 55.403007146706706, 55.4005132598189, 56.6958125004599]"
CBL#Gansu / 甘肃,2,1,"[35.0410384623602, 36.947268711092, 37.7531448809141, 37.966835983348396, 39.482557576592704, 36.7479766901789, 37.4890136171115, 37.7326072530868, 38.2099820653148, 35.7440988083605, 37.3683504189475, 37.8746973265956, 37.5656715193448, 36.360370796753, 36.4354822543775, 38.638690275357796, 37.4812916560151, 37.4692861350391, 39.6060432087938, 37.464973443720204, 40.2264030992771, 38.3546799438527, 37.8425173018275, 37.1072465719686, 38.6013659743275, 40.5876854229654, 40.980518756686294, 40.8712124429617, 42.752103643307294, 43.175797527076206, 44.362268672988606, 43.6944498472608, 44.61176098002971, 45.181299829208406, 44.58862529889569]"
CBL#Hainan / 海南,1,0,"[53.0734697911027, 51.655381617422, 54.13046766184879, 55.020129713394496, 51.916737373736, 54.145986568655005, 54.04903519701549, 54.0602984989969, 54.6934832650195, 55.381058756448404, 58.0400503056871, 57.82302296027921, 58.092777120902795, 57.6031009657718, 57.2543839604323, 57.8904033930833, 57.2101097128085, 66.0734983401928, 67.7754439181154, 69.727612680586, 69.7803276826462, 70.193389077687, 69.3715089901132, 67.852738045691, 67.5266344378292, 67.6049777644954, 68.7387845840886, 68.9144193333163, 69.41900835074921, 70.02620267936621, 70.3237025284484, 69.6005375425985, 69.40666893546971, 71.4260862748498, 69.957506501523]"
CBL#Hebei / 河北,0,2,"[39.4829749763478, 39.812705488702996, 40.3312131624019, 40.1519518614917, 40.24683188906221, 41.2266798958804, 41.3271024044227, 41.7880966926616, 41.3727579624104, 41.2494797223161, 39.814373149751795, 40.5376509483029, 40.924398157208294, 41.8720889102858, 42.890297970078, 44.273781040241204, 43.5950400898288, 44.4393741846321, 45.7045856500124, 45.67822613974241, 47.1080377740154, 47.994339679538705, 46.9738112643719, 46.926803357840996, 47.958774896593894, 49.1553349134556, 49.376752061968205, 51.256920621922596, 51.0763344216591, 51.4594150794673, 52.2453049355145, 53.0615754370576, 53.750021032073796, 54.926288858015006, 55.3965752284108]"
CBL#Hunan / 湖南,0,2,"[37.2511548361089, 38.017853696968295, 38.7001027851584, 39.268481641754896, 38.98414736015071, 39.350201795286296, 39.7289711250052, 40.039188313979295, 39.8104260028966, 39.361283993654, 39.6165386988949, 37.7843216327387, 37.8977887914804, 41.449382219379004, 44.2095139475216, 44.7720679024424, 45.23984138257179, 44.47198725970679, 45.268798231329406, 46.4982071399222, 49.479941089377604, 50.5697001214293, 48.8972357958918, 46.524289803993994, 47.039890625849, 47.855250198530506, 48.8342544159872, 47.9519774272385, 47.012017754359206, 48.10557509670279, 53.25486502483599, 54.0143405891928, 53.565421689931895, 51.411225834438106, 52.311560477217505]"
CBL#Inner Mongolia / 内蒙古,1,1,"[23.4518331583495, 27.8161983627181, 26.7624815597008, 27.9509491962937, 30.689908981753998, 33.0039817386868, 30.0358418148878, 31.400593275454604, 32.6169687254912, 31.511755899440104, 32.6458247758657, 36.412704888842796, 35.8558300157607, 36.893185405177704, 38.4062801947714, 36.6517858928411, 35.7647417116663, 35.388569345220006, 36.2913545275408, 36.877025940879896, 36.6440940950862, 37.5446742993879, 39.0883709189294, 36.4424391615793, 40.410276886876204, 42.059946508379795, 42.6466757118291, 43.173199020541105, 41.9563655046315, 40.4571979067705, 40.233756137121894, 42.833696539971704, 44.3993773614712, 45.633040864605, 46.9323053009582]"
CBL#Jiangxi / 江西,1,2,"[34.5250778956078, 33.950755836096604, 35.755338629158295, 35.0973872785856, 34.8142146707838, 36.247090444529, 36.9286442652444, 38.0465322765709, 44.70827126728229, 46.7779823287258, 44.4277202307479, 43.009817940296706, 40.647680604357, 40.6171126957052, 41.5138914096668, 41.7285199909102, 41.4983105443778, 43.93065578026871, 45.9527966467541, 45.55858821009279, 47.77010408105561, 52.043797916660296, 50.85924511892279, 48.763305304046895, 47.660995625124905, 50.121156552759196, 51.316151924615895, 49.442257398100004, 48.925953038444206, 49.416295965245105, 50.026342091679204, 50.1190614568888, 54.36084823182139, 51.8466042043851, 49.1385751444703]"
CBL#Shandong / 山东,0,2,"[40.898465879806, 42.3844942782626, 41.9509563313334, 42.1854423514499, 41.482276198548796, 42.214446551406105, 43.83692198191421, 43.7633521429338, 44.560931200209, 45.9442109744787, 46.34957231753679, 46.1966428849045, 45.7935950310668, 47.46565893734199, 47.5483259402896, 47.2371427812424, 47.3803949293406, 48.317156445217506, 49.20358151617621, 48.873591595879205, 49.1231452581964, 48.9497146055712, 48.1917833476811, 47.878469511347, 48.895175833773, 49.309600752322, 50.2204196847536, 51.2533437323779, 50.6811694828771, 51.2383273463499, 51.1838907922192, 52.5216930066926, 52.9640655548924, 53.5527253983673, 53.0797649670065]"
